job_classes,experience_level,count,min,median,mean,max,std
Data Analyst,Expert,4,100.0,850.0,1325.0,3500.0,1497.5
Data Analyst,Intermediate,4,30.0,50.0,157.5,500.0,228.53
Data Engineer,Expert,4,100.0,2100.0,2325.0,5000.0,2318.58
Data Engineer,Intermediate,3,30.0,40.0,123.33,300.0,153.08
Machine Learning,Expert,3,3500.0,5000.0,8166.67,16000.0,6825.2
Machine Learning,Intermediate,2,100.0,200.0,200.0,300.0,141.42
Other,Entry level,1,100.0,100.0,100.0,100.0,
Other,Intermediate,1,1000.0,1000.0,1000.0,1000.0,
Python Automation,Entry level,1,500.0,500.0,500.0,500.0,
Python Automation,Expert,1,16000.0,16000.0,16000.0,16000.0,
Python Automation,Intermediate,4,30.0,50.0,182.5,600.0,278.49
