Count,Job %,Data Engineer Count,Data Engineer Job %,Data Analyst Count,Data Analyst Job %,Machine Learning Count,Machine Learning Job %,Python Automation Count,Python Automation Job %
14,31.82,7,33.33,9,39.13,5,35.71,3,30.0
7,15.91,1,4.76,4,17.39,4,28.57,0,0.0
4,9.09,0,0.0,1,4.35,2,14.29,0,0.0
2,4.55,1,4.76,2,8.7,2,14.29,0,0.0
1,2.27,0,0.0,1,4.35,0,0.0,0,0.0
1,2.27,0,0.0,1,4.35,0,0.0,0,0.0
1,2.27,1,4.76,1,4.35,1,7.14,0,0.0
1,2.27,0,0.0,0,0.0,0,0.0,0,0.0
1,2.27,0,0.0,0,0.0,0,0.0,0,0.0
1,2.27,1,4.76,1,4.35,1,7.14,0,0.0
1,2.27,1,4.76,1,4.35,1,7.14,0,0.0
1,2.27,0,0.0,0,0.0,1,7.14,0,0.0
1,2.27,0,0.0,0,0.0,0,0.0,1,10.0
1,2.27,0,0.0,0,0.0,0,0.0,1,10.0
