,Technology Pair,Count,Job %
2,Python + SQL,10,22.727272727272727
3,Excel + Python,8,18.181818181818183
16,Claude + Python,6,13.636363636363635
18,Power BI + Python,3,6.8181818181818175
19,Power BI + SQL,3,6.8181818181818175
10,Power BI + Tableau,3,6.8181818181818175
1,IBM SPSS + SQL,2,4.545454545454546
17,Claude + SQL,2,4.545454545454546
4,OpenAI + Python,2,4.545454545454546
20,Python + Tableau,2,4.545454545454546
21,SQL + Tableau,2,4.545454545454546
5,Excel + IBM SPSS,2,4.545454545454546
0,IBM SPSS + Python,2,4.545454545454546
35,Azure + SQL,2,4.545454545454546
34,Azure + Python,2,4.545454545454546
64,JavaScript + Python,2,4.545454545454546
49,Git + Python,2,4.545454545454546
88,Microsoft SQL Server + SQL,2,4.545454545454546
71,OCR + Python,2,4.545454545454546
14,Python + R,1,2.272727272727273
13,Excel + SQL,1,2.272727272727273
15,R + SQL,1,2.272727272727273
22,Claude + SAS,1,2.272727272727273
23,Python + SAS,1,2.272727272727273
24,Excel + SAS,1,2.272727272727273
12,Excel + R,1,2.272727272727273
11,PostgreSQL + Python,1,2.272727272727273
9,IBM SPSS + Tableau,1,2.272727272727273
8,IBM SPSS + Power BI,1,2.272727272727273
6,Excel + Power BI,1,2.272727272727273
7,Excel + Tableau,1,2.272727272727273
30,Azure + Docker,1,2.272727272727273
29,Azure + CI/CD,1,2.272727272727273
28,SAS + Stata,1,2.272727272727273
27,IBM SPSS + Stata,1,2.272727272727273
26,IBM SPSS + SAS,1,2.272727272727273
25,Excel + Stata,1,2.272727272727273
33,Azure + Power BI,1,2.272727272727273
32,Azure + Kubernetes,1,2.272727272727273
39,CI/CD + Power BI,1,2.272727272727273
40,CI/CD + Python,1,2.272727272727273
41,CI/CD + SQL,1,2.272727272727273
42,Docker + Git,1,2.272727272727273
43,Docker + Kubernetes,1,2.272727272727273
36,CI/CD + Docker,1,2.272727272727273
37,CI/CD + Git,1,2.272727272727273
31,Azure + Git,1,2.272727272727273
46,Docker + SQL,1,2.272727272727273
47,Git + Kubernetes,1,2.272727272727273
48,Git + Power BI,1,2.272727272727273
50,Git + SQL,1,2.272727272727273
51,Kubernetes + Power BI,1,2.272727272727273
52,Kubernetes + Python,1,2.272727272727273
53,Kubernetes + SQL,1,2.272727272727273
54,Gemini + Google Sheets,1,2.272727272727273
55,Gemini + JavaScript,1,2.272727272727273
56,Gemini + OpenAI,1,2.272727272727273
57,Gemini + Python,1,2.272727272727273
58,Gemini + REST API,1,2.272727272727273
59,Google Sheets + JavaScript,1,2.272727272727273
44,Docker + Power BI,1,2.272727272727273
45,Docker + Python,1,2.272727272727273
38,CI/CD + Kubernetes,1,2.272727272727273
62,Google Sheets + REST API,1,2.272727272727273
61,Google Sheets + Python,1,2.272727272727273
60,Google Sheets + OpenAI,1,2.272727272727273
65,JavaScript + REST API,1,2.272727272727273
67,Python + REST API,1,2.272727272727273
68,Claude + Excel,1,2.272727272727273
69,Claude + OCR,1,2.272727272727273
63,JavaScript + OpenAI,1,2.272727272727273
70,Excel + OCR,1,2.272727272727273
72,AdsPower + Excel,1,2.272727272727273
73,AdsPower + Playwright,1,2.272727272727273
74,AdsPower + Python,1,2.272727272727273
75,AdsPower + Selenium,1,2.272727272727273
76,AdsPower + Tkinter,1,2.272727272727273
77,Excel + Playwright,1,2.272727272727273
66,OpenAI + REST API,1,2.272727272727273
78,Excel + Selenium,1,2.272727272727273
79,Excel + Tkinter,1,2.272727272727273
81,Playwright + Selenium,1,2.272727272727273
80,Playwright + Python,1,2.272727272727273
83,Python + Selenium,1,2.272727272727273
84,Python + Tkinter,1,2.272727272727273
85,Selenium + Tkinter,1,2.272727272727273
82,Playwright + Tkinter,1,2.272727272727273
86,C# + Microsoft SQL Server,1,2.272727272727273
87,C# + SQL,1,2.272727272727273
89,Azure + Microsoft SQL Server,1,2.272727272727273
90,Azure + Qdrant,1,2.272727272727273
91,Microsoft SQL Server + Python,1,2.272727272727273
92,Microsoft SQL Server + Qdrant,1,2.272727272727273
93,Python + Qdrant,1,2.272727272727273
94,Qdrant + SQL,1,2.272727272727273
