technologies,Count,Job %,Data Engineer Count,Data Engineer Job %,Data Analyst Count,Data Analyst Job %,Machine Learning Count,Machine Learning Job %,Python Automation Count,Python Automation Job %
R,1,2.27,0,0.0,1,4.35,0,0.0,0,0.0
PostgreSQL,1,2.27,1,4.76,1,4.35,1,7.14,0,0.0
REST API,1,2.27,1,4.76,1,4.35,0,0.0,1,10.0
Qdrant,1,2.27,1,4.76,0,0.0,0,0.0,0,0.0
C#,1,2.27,0,0.0,0,0.0,0,0.0,0,0.0
Tkinter,1,2.27,0,0.0,0,0.0,0,0.0,1,10.0
AdsPower,1,2.27,0,0.0,0,0.0,0,0.0,1,10.0
Playwright,1,2.27,0,0.0,0,0.0,0,0.0,1,10.0
Selenium,1,2.27,0,0.0,0,0.0,0,0.0,1,10.0
Gemini,1,2.27,1,4.76,1,4.35,0,0.0,1,10.0
Docker,1,2.27,1,4.76,1,4.35,1,7.14,0,0.0
Google Sheets,1,2.27,1,4.76,1,4.35,0,0.0,1,10.0
CI/CD,1,2.27,1,4.76,1,4.35,1,7.14,0,0.0
Kubernetes,1,2.27,1,4.76,1,4.35,1,7.14,0,0.0
Stata,1,2.27,0,0.0,1,4.35,0,0.0,0,0.0
OpenAI,2,4.55,2,9.52,1,4.35,0,0.0,1,10.0
JavaScript,2,4.55,1,4.76,1,4.35,0,0.0,2,20.0
Git,2,4.55,2,9.52,2,8.7,1,7.14,0,0.0
SAS,2,4.55,1,4.76,1,4.35,1,7.14,1,10.0
Azure,2,4.55,2,9.52,1,4.35,1,7.14,0,0.0
Microsoft SQL Server,2,4.55,1,4.76,0,0.0,0,0.0,0,0.0
OCR,2,4.55,1,4.76,0,0.0,2,14.29,0,0.0
Tableau,3,6.82,1,4.76,3,13.04,1,7.14,0,0.0
Power BI,4,9.09,2,9.52,4,17.39,2,14.29,0,0.0
IBM SPSS,4,9.09,2,9.52,2,8.7,2,14.29,0,0.0
Claude,6,13.64,3,14.29,2,8.7,3,21.43,2,20.0
SQL,11,25.0,7,33.33,7,30.43,4,28.57,0,0.0
Excel,12,27.27,3,14.29,8,34.78,1,7.14,5,50.0
Python,37,84.09,19,90.48,17,73.91,14,100.0,10,100.0
