job_id,category,search_keyword,title,description,mandatory_skills,preferred_qualifications,experience_level,job_type,project_type,duration,workload,budget_type,budget_min,budget_max,posted_date,proposals,job_url,collected_at
1,Data Science & Analytics,,Looking for a Data Scientist For Upcoming Projects,"We're looking for an experienced Data Scientist to join a fast-paced, results-oriented team working on real client projects. This is a long-term freelance opportunity (6+ months) with a steady stream of fixed-fee work for someone available 10–20 hours per week.

Requirements
-------------------
- Experience solving real-world client problems.
- Strong machine learning and traditional NLP (non-LLM) experience.
- Strong Python skills (NumPy, Pandas, Matplotlib).
- Writes clean code and validates their own work for accuracy.
- Extreme attention to detail.
- Self-starter who gets work done.
- Strong preference for US-based candidates, but we welcome candidates from Singapore, Malaysia, UK, Vietnam, Canada who can make themselves available to US time zone.

Freelancer Hiring Process
---------------------------------
-Test project for competence assessment
-CEO interview of shortlisted candidates.

To Apply Include:
---------------------
Relevant client experience.
2–3 project examples.
Confirmation you're willing to complete the test project and CEO interview.

Only apply if you meet all requirements.","AI App Development
AI Implementation
AI Development
AI Model Development
Python
Data Science
Machine Learning
Data Scraping
Preferred qualifications",,Intermediate,Hourly,Ongoing project,3 to 6 months,More than 30 hrs/week,single,50.0,50.0,yesterday,10 to 15, https://www.upwork.com/jobs/~022082191299466664105?referrer_url_path=%2Fbest-matches%2Fdetails%2F~022082191299466664105,2026-08-03 09:54:34
10,Data Analysis & Testing,python data analyst,Product Categorization/Taxonomy tagging - Data Analysis & Testing,"We have a large catalog of about 100k products across many categories.

We have several large product lists that need to be cleaned, organized, and classified within our provided taxonomy.

This work can not be done by hand, and needs to be automated with a combination of scripts and Ai. We need a repeatable rules based process.

What you'll do:

- Build an automated classification pipeline that maps products to the correct categories from our controlled vocabulary (we provide the list — no free-typing).
- Assign product attributes/specs programmatically from a defined set of valid values.
Clean and normalize messy titles and field values, deduplicate, and fix systematic mis-tags across the whole list.
- Automatically flag the rows the rules can't confidently resolve, so only a small share needs human review instead of all 100k.
- Build QA checks and sampling so we can measure accuracy and catch errors.
- Deliver clean output in CSV, formatted for a standard eCommerce product import.

Required skills:

- Python (pandas) or equivalent scripting for data work — this is the core requirement.
- Experience with rule-based classification, text normalization, fuzzy/string matching, and deduplication on large datasets.
- Strong with CSV/spreadsheet data and working to a defined schema or controlled vocabulary.
- A QA mindset — building validation, sampling, and accuracy metrics.

Please have previous project experience using scripts/llms to classify large sets of data.

To apply, please answer:

At ~100,000 rows, how would you approach automating classification against a fixed category list — what's your general method, and how do you handle the rows your rules can't confidently resolve?

How do you measure and keep accuracy high on a job this size (validation, sampling, error checks)?
What tools/libraries would you use, and roughly how large a dataset have you cleaned or categorized before?

Thank you","Python
data classification
Accuracy Verification
Automation
Preferred qualifications",,Expert,Hourly,Ongoing project,3 to 6 months,More than 30 hrs/week,,,,last month,50+, https://www.upwork.com/jobs/~022069530757074201964?referrer_url_path=%2Fnx%2Fsearch%2Fjobs%2Fdetails%2F~022069530757074201964,2026-08-03 09:54:34
2,Data Science & Analytics,,Data Extraction and Analysis Specialist,"We’re looking for a Data Scientist to help us organize and make better use of historical data across approx thousands of deals.

The data currently sits across different sources and documents, with several missing or inconsistent mappings. We need someone who can help us:

* Clean and connect the historical data
* Pull key information and lender details from deal documents
* Map deals by industry, region and other relevant fields
* Build a model that can use this historical data to predict the same information for future deals

We’re open to Random Forest or another approach you believe would work better.

Strong experience with Python, data mapping, strong SQL queries and predictive modelling is important. Experience working with financial data and extracting information from documents would be a plus.

Please share any similar projects you’ve worked on and a brief note on how you’d approach this.","Data Analysis
Data Science
Nice-to-have skills
IBM SPSS
Statistics",,Intermediate,Hourly,Ongoing project,1 to 3 months,Less than 30 hrs/week,range,8.0,25.0,yesterday,20 to 50,https://www.upwork.com/jobs/~022082094300318745510?referrer_url_path=%2Fnx%2Fsearch%2Fjobs%2Fdetails%2F~022082094300318745510,2026-08-03 09:54:34
3,Data Science & Analytics,,Looking for a Data Scientist For Upcoming Projects,"We're looking for an experienced Data Scientist to join a fast-paced, results-oriented team working on real client projects. This is a long-term freelance opportunity (6+ months) with a steady stream of fixed-fee work for someone available 10–20 hours per week.

Requirements
-------------------
- Experience solving real-world client problems.
- Strong machine learning and traditional NLP (non-LLM) experience.
- Strong end-to-end software engineering skills  (can pacakge, containerize, deploy code)
- Strong Python skills (NumPy, Pandas, Matplotlib).
- Writes clean code and validates their own work for accuracy.
- Extreme attention to detail.
- Self-starter who gets work done.
- Strong preference for US-based candidates, but we welcome candidates from Singapore, Malaysia, UK, Vietnam, Canada who can make themselves available to US time zone.

Freelancer Hiring Process
---------------------------------
-Test project for competence assessment
-CEO interview of shortlisted candidates.

To Apply Include:
---------------------
Relevant client experience.
2–3 project examples.
Confirmation you're willing to complete the test project and CEO interview.

Only apply if you meet all requirements.","AI App Development
AI Implementation
AI Development
AI Model Development
Python
Data Science
Machine Learning
Data Scraping
Preferred qualifications",,Intermediate,Hourly,Ongoing project,3 to 6 months,More than 30 hrs/week,single,50.0,50.0,yesterday,15 to 20,https://www.upwork.com/jobs/~022082191299466664105?referrer_url_path=%2Fnx%2Fsearch%2Fjobs%2Fdetails%2F~022082191299466664105,2026-08-03 09:54:34
4,Data Science & Analytics,physics,Data Analyst for Multi‑Sensor Building Thermal Dynamics,"We are conducting a long‑term scientific measurement project to analyze the real thermal behavior of a residential building. The goal is to evaluate how the building reacts to heating, cooling, and environmental conditions using multi‑sensor time‑series data (temperature, humidity, heating system behavior, and external climate data).

We are looking for a skilled Time‑Series Data Analyst who can clean, structure, and analyze sensor data collected over several months. The work includes identifying patterns, detecting anomalies, calculating thermal response characteristics, and generating clear visualizations and reports.

Your responsibilities:

Clean and preprocess multi‑sensor time‑series datasets

Detect anomalies, missing values, and sensor irregularities

Perform statistical and time‑series analysis (correlations, regressions, gradients)

Analyze thermal response curves and building dynamics

Create clear visualizations (plots, heatmaps, trends)

Document findings in a structured, professional format

Provide insights that help validate the building’s real thermal performance

Required skills:

Strong experience with time‑series analysis

Python (Pandas, NumPy, SciPy, Matplotlib/Seaborn/Plotly)

Data cleaning and preprocessing

Statistical modeling

Signal processing (filters, smoothing, derivatives)

Anomaly detection

Clear technical documentation and reporting

Nice to have:

Background in building physics, HVAC, or energy systems

Experience with long‑term sensor data

Understanding of thermal inertia and building envelope behavior

This is a focused, technical project with high scientific relevance. We value clear communication, clean code, and precise analytical thinking.",Python,,Expert,Hourly,One-time project,Less than 1 month,Less than 30 hrs/week,range,35.0,75.0,2 months ago,50+, https://www.upwork.com/jobs/~022056741959072715778?referrer_url_path=%2Fnx%2Fsearch%2Fjobs%2Fdetails%2F~022056741959072715778,2026-08-03 09:54:34
5,Data Science & Analytics,python,Python script to clean messy sales CSV and generate a summary report - Data Extraction/ETL,"Hi there,

I run a small online store and every month I export our sales transactions from our point-of-sale system as a CSV file. The export is messy — inconsistent date formats, prices with dollar signs and commas, extra whitespace, some duplicate rows, and the occasional blank/invalid row. Right now I clean it by hand in Excel and it takes me an hour or two every month. I'd like to stop doing that.

I'm looking for a **command-line Python script** that I can run on my own laptop. I point it at the raw CSV export and it (1) cleans the data and saves a tidy CSV, and (2) produces a short summary report so I can see how the month went at a glance.

I'm not a developer but I can run a command in the terminal if you give me clear instructions. Please keep it simple to install and run — I'd strongly prefer **standard Python with no heavy setup** (or minimal, well-documented dependencies).

## What the raw data looks like

Each row is one sale. Columns (header names roughly as below, but please be a little tolerant of extra spaces/case):

`order_id, date, customer, product, quantity, unit_price`

Real-world messiness you'll need to handle:

- Dates come in mixed formats: `2026-01-05`, `01/05/2026`, `Jan 5, 2026`.
- `unit_price` may look like `$1,299.00`, `1299`, or `  19.99 `.
- `quantity` may have stray spaces or be blank.
- Leading/trailing whitespace in text fields; inconsistent capitalization in product names.
- Fully duplicated rows (same order_id and everything) should be de-duplicated.
- Rows missing an order_id, product, or with non-numeric/zero/negative price or quantity are **invalid** — skip them, but tell me how many were skipped and why.

## Deliverables / Requirements

1. **A single Python CLI script** (e.g. `python sales_report.py input.csv`) that accepts:
- the path to the input CSV (required), and
- an optional output folder (default: current directory).

2. **Cleaned CSV output** (`cleaned_sales.csv`) with:
- normalized dates (ISO `YYYY-MM-DD`),
- numeric `unit_price` and `quantity` (no symbols),
- a computed `line_total` column (quantity × unit_price),
- trimmed text, title-cased product names,
- duplicates removed and invalid rows excluded.

3. **A summary report** (both a human-readable `report.txt` / Markdown **and** a machine-readable `summary.json`) containing:
- total revenue, total number of valid orders, total units sold, average order value,
- revenue and units **by product** (sorted high → low),
- revenue **by month**,
- **top 5 customers** by revenue,
- a data-quality section: how many rows were read, skipped, and de-duplicated, with reasons.

4. **A short README** with setup and exact run instructions, plus a small **sample input CSV** and the **example output** it produces, so I can confirm it works before I run it on my real data.

5. Clean, commented code. Sensible error message if the file is missing or the columns don't match (don't just crash with a stack trace).

## Nice to have (not required)

- Works with just the Python standard library so I don't have to install anything.
- A `--top` option to change how many top customers/products are shown.

## How to apply

Please confirm you've read the requirements, mention any clarifying questions, and let me know your timeline. A quick note on how you'd handle the messy date/price parsing is a plus. Thanks!","Python
pandas
CSV
Data Cleaning
Preferred qualifications",,Expert,Hourly,Ongoing project,1 to 3 months,Less than 30 hrs/week,range,30.0,50.0,3 weeks ago,50+, https://www.upwork.com/jobs/~022074802176750133453?referrer_url_path=%2Fnx%2Fsearch%2Fjobs%2Fdetails%2F~022074802176750133453,2026-08-03 09:54:34
6,Data Science & Analytics,python,"Dataset Collection (Images, Text) - with Python experience - Data Extraction/ETL","Looking for a person who generates datasets (human + AI), can handle API's (OpenAI etc.) to generate AI generated images.

Dataset's are mostly images + text.


Background in Data Science is a plus.


Let me know your experience in this field.","Python
Machine Learning
Data Mining
Data Scraping
Data Science
pandas
Data Entry",,Entry level,Hourly,Ongoing project,More than 6 months,More than 30 hrs/week,range,6.0,10.0,2 weeks ago,20 to 50, https://www.upwork.com/jobs/~022077074558785228111?referrer_url_path=%2Fnx%2Fsearch%2Fjobs%2Fdetails%2F~022077074558785228111,2026-08-03 09:54:34
7,Data Science & Analytics,python data analyst,Re-extraction of data for a meta-analysis - Data Extraction/ETL,"Hello,

I need your help re-extracting data (mostly means+SD) for a meta-analysis. I already extract the data but I need someone else to do it to avoid any bias. The extractions from tables or figures, nothing complicated really.


Sometimes, you may do simple calculations like converting SD to SE or vice versa, or recalculating the means+SD for each sex or for both sexes.


I should send you an example for the table that summarizes the extracted data.

I will send 3 papers at a time.

I can pay up to $20/paper, in total i have ~20ish papers or so.","meta-analysis
Data Extraction
Statistics",,Intermediate,Hourly,One-time project,Less than 1 month,Less than 30 hrs/week,,,,13 hours ago,20 to 50, https://www.upwork.com/jobs/~022082369884227735061?referrer_url_path=%2Fnx%2Fsearch%2Fjobs%2Fdetails%2F~022082369884227735061,2026-08-03 09:54:34
8,Data Analysis & Testing,python data analyst,Data Analyst with Power BI and Excel - Data Analysis & Testing,"We are seeking a skilled data analyst to join our team full-time. The ideal candidate will have experience in data analysis and visualization using Power BI and Excel. Responsibilities include analyzing data sets, creating reports, and developing dashboards to present findings. The role requires strong analytical skills and the ability to interpret complex data into actionable insights.","Data Analysis
IBM SPSS
Nice-to-have skills
Tableau
Statistics",,Intermediate,Hourly,Complex project,More than 6 months,More than 30 hrs/week,range,20.0,50.0,yesterday,50+, https://www.upwork.com/jobs/~022082058846381994477?referrer_url_path=%2Fnx%2Fsearch%2Fjobs%2Fdetails%2F~022082058846381994477,2026-08-03 09:54:34
9,Data Analysis & Testing,python data analyst,"Full-time Data Analyst for fast-growing creator platform (SQL, dashboards) - Data Analysis & Testing","Content Rewards is a fast-growing marketplace in the creator economy, and we're hiring a full-time Data Analyst to turn our data into decisions. You'll own reporting and analysis across the business (payouts, campaign performance, creator activity, funnel and retention) and help leadership see what's working and what to fix.

What you'll do:
- Build and maintain dashboards and reports leadership actually uses
- Analyze campaign, payout, and creator data to surface trends, risks, and opportunities
- Write clean SQL and work across our data stack
- Turn ambiguous questions into clear, trustworthy answers, fast
- Own the metrics and definitions the team relies on as we scale

You're a fit if you:
- Have strong SQL and a modern analytics/BI stack
- Can defend your numbers and care about accuracy
- Explain findings clearly to non-technical people
- Are based in the US, Canada, UK, Western Europe, Australia, or New Zealand
- Want a committed, full-time, long-term role (not one-off gigs)

This starts as a contract with the intent to go full-time for the right person. Real ownership, direct access to leadership, and a fast-moving team.","SQL
Data Analysis
Python
Data Visualization
Preferred qualifications",,Expert,Hourly,Ongoing project,More than 6 months,More than 30 hrs/week,range,20.0,50.0,3 weeks ago,20 to 50, https://www.upwork.com/jobs/~022074271542203452125?referrer_url_path=%2Fnx%2Fsearch%2Fjobs%2Fdetails%2F~022074271542203452125,2026-08-03 09:54:34
